ORIGIN,DESTINATION,ORIGIN_PORT_CODE,DESTINATION_PORT_CODE,SERVICE_VERSION_AND_ROUNDTRIP_IDENTFIERS,ORIGIN_SERVICE_VERSION_AND_MASTER,DESTINATION_SERVICE_VERSION_AND_MASTER,ORIGIN_AT_UTC,OFFERED_CAPACITY_TEU
china_main,north_europe_main,CNYTN,DEHAM,ONE INSPIRATION | 27442.000000000 | v16-s14 | v16-s14 | 2 - 2,THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3 / THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3,THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3 / THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3,2024-04-18 22:00:00.000,24136
china_main,north_europe_main,CNYTN,DEHAM,ONE FUTURE | 27442.000000000 | v16-s15 | v16-s15 | 2 - 2,THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3 / THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3,THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3 / THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3,2024-04-27 05:05:00.000,15516
china_main,north_europe_main,CNSGH,NLRTM,APL TEMASEK | 21052.000000000 | v18-s13 | v18-s13 | 2 - 2,OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4 / OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4,OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4 / OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4,2023-12-09 23:36:00.000,17292
china_main,north_europe_main,CNQIN,DEHAM,EVER GENTLE | 21035.000000000 | v8-s4 | v8-s4 | 2 - 2,OCEAN - NEU6 || CMA - FAL6 | COSCO - AEU5 | EMC - CEM | OOCL - LL6 / OCEAN - NEU6 || CMA - FAL6 | COSCO - AEU5 | EMC - CEM | OOCL - LL6,OCEAN - NEU6 || CMA - FAL6 | COSCO - AEU5 | EMC - CEM | OOCL - LL6 / OCEAN - NEU6 || CMA - FAL6 | COSCO - AEU5 | EMC - CEM | OOCL - LL6,2023-11-19 03:55:00.000,20288
china_main,north_europe_main,CNNBO,DEHAM,CMA CGM VASCO DE GAMA | 21052.000000000 | v18-s1 | v18-s1 | 3 - 3,OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4 / OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4,OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4 / OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4,2024-03-27 13:09:00.000,17859
china_main,north_europe_main,CNNBO,DEHAM,APL CHANGI | 21052.000000000 | v18-s6 | v18-s6 | 2 - 2,OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4 / OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4,OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4 / OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4,2024-01-25 02:58:00.000,13892
china_main,north_europe_main,CNSGH,DEWVN,MONACO MAERSK | 21411.000000000 | v14-s5 | v14-s5 | 3 - 3,2M - NEUR loop 1 || ML - AE5 | MSC - Albatros / 2M - NEUR loop 1 || ML - AE5 | MSC - Albatros,2M - NEUR loop 1 || ML - AE5 | MSC - Albatros / 2M - NEUR loop 1 || ML - AE5 | MSC - Albatros,2024-03-21 17:05:00.000,20568
china_main,north_europe_main,CNSGH,DEWVN,METTE MAERSK | 21411.000000000 | v14-s7 | v14-s7 | 3 - 3,2M - NEUR loop 1 || ML - AE5 | MSC - Albatros / 2M - NEUR loop 1 || ML - AE5 | MSC - Albatros,2M - NEUR loop 1 || ML - AE5 | MSC - Albatros / 2M - NEUR loop 1 || ML - AE5 | MSC - Albatros,2024-04-11 04:03:00.000,18300
china_main,north_europe_main,CNSGH,DEWVN,MAASTRICHT MAERSK | 21411.000000000 | v14-s13 | v14-s13 | 3 - 3,2M - NEUR loop 1 || ML - AE5 | MSC - Albatros / 2M - NEUR loop 1 || ML - AE5 | MSC - Albatros,2M - NEUR loop 1 || ML - AE5 | MSC - Albatros / 2M - NEUR loop 1 || ML - AE5 | MSC - Albatros,2024-05-28 20:56:00.000,20568
china_main,north_europe_main,CNSGH,DEHAM,EVER GOLDEN | 21581.000000000 | v7-s1 | v7-s1 | 3 - 3,OCEAN - NEU7 || CMA - FAL8 | COSCO - AEU9 | EMC - CES | OOCL - LL7 / OCEAN - NEU7 || CMA - FAL8 | COSCO - AEU9 | EMC - CES | OOCL - LL7,OCEAN - NEU7 || CMA - FAL8 | COSCO - AEU9 | EMC - CES | OOCL - LL7 / OCEAN - NEU7 || CMA - FAL8 | COSCO - AEU9 | EMC - CES | OOCL - LL7,2024-03-21 19:24:00.000,20150
